video,label,adj_mean,adj_min,al10_drop,al10_end_drop,al10_first,al10_last,al10_lowfrac,al10_max,al10_mean,al10_min,al10_p10,al10_slope,al10_std,al_drop,al_end_drop,al_first,al_last,al_lowfrac,al_max,al_mean,al_min,al_p10,al_slope,al_std,mot_mean,sf10_drop,sf10_end_drop,sf10_first,sf10_last,sf10_lowfrac,sf10_max,sf10_mean,sf10_min,sf10_p10,sf10_slope,sf10_std,sf_drop,sf_end_drop,sf_first,sf_last,sf_lowfrac,sf_max,sf_mean,sf_min,sf_p10,sf_slope,sf_std,src_drop,src_end_drop,src_first,src_last,src_lowfrac,src_max,src_mean,src_min,src_p10,src_slope,src_std,worst_patch
5805.mp4,normal,0.9426863193511963,0.8982128500938416,0.49528345,0.47638553,0.5392847,0.06289917,0.0,0.5392847,0.14356038,0.044001244,0.049055014,-0.016074772416190677,0.13254432,0.55529886,0.50646263,0.84685624,0.3403936,0.08695652173913043,0.84685624,0.4568653,0.29155737,0.3217008,-0.021351189393064254,0.15753494,0.3889310657978058,0.19422257,0.17147332,0.8582656,0.68679225,0.08695652173913043,0.8582656,0.7328297,0.664043,0.6846714,-0.006805040089509242,0.04907196,0.12035,0.11321902,0.9279864,0.81476736,0.08695652173913043,0.9279864,0.84579635,0.8076364,0.81465995,-0.004510423175902242,0.031998206,0.22258681,0.22258681,0.99941033,0.7768235,0.20833333333333334,0.99941033,0.86182547,0.7768235,0.79188955,-0.00767374740994498,0.057839774,0.3997129201889038
7208.mp4,normal,0.9414591789245605,0.7126123309135437,0.7756735,0.093141735,0.8835963,0.79045457,0.17391304347826086,0.8835963,0.5533672,0.10792282,0.24824534,-0.0021842933690595103,0.18847345,0.40588564,0.036936462,0.9489178,0.91198134,0.17391304347826086,0.9489178,0.8247549,0.54303217,0.6742209,-0.0004959011030762758,0.09227701,0.08206003904342651,0.4705516,0.04829061,0.9179919,0.86970127,0.13043478260869565,0.9179919,0.8025223,0.44744027,0.6790217,-0.002338456659920143,0.10484741,0.19393814,0.018094838,0.9664845,0.94838965,0.13043478260869565,0.9664845,0.9068148,0.77254635,0.822765,-0.0009978721028731522,0.048399173,0.2481401,0.021675289,1.0003965,0.9787212,0.125,1.0003965,0.9276553,0.7522564,0.8245917,-0.002037522274514915,0.06373726,0.33474522829055786
15801.mp4,bad,0.9955223202705383,0.983872652053833,0.09560019,-0.04917288,0.7579901,0.807163,0.17391304347826086,0.8401605,0.755098,0.66238993,0.7020651,0.0011739384515483385,0.042606723,0.023507059,0.009863198,0.9130797,0.9032165,0.21739130434782608,0.92628014,0.90287507,0.8895726,0.89225495,-0.00015674354766197923,0.009596977,0.03918866068124771,0.036033392,0.011870563,0.89339536,0.8815248,0.21739130434782608,0.89339536,0.8745251,0.857362,0.86444247,-0.00047299513232566093,0.0095149,0.021978438,0.012054145,0.95603293,0.9439788,0.13043478260869565,0.95603293,0.9420638,0.9340545,0.93688756,-0.00018594346263193373,0.005333751,0.034335613,0.014160812,0.99995655,0.98579574,0.125,0.99995655,0.98080355,0.96562093,0.9722625,-0.00017420626204948977,0.0073699537,0.45313572883605957
6936.mp4,good,0.9742418527603149,0.8972676992416382,0.5840659,0.5840659,0.9026966,0.3186307,0.21739130434782608,0.9026966,0.6005976,0.3186307,0.3615322,-0.0222493256387032,0.200404,0.1310181,0.12988502,0.95097333,0.8210883,0.21739130434782608,0.95097333,0.8739614,0.8199552,0.8243773,-0.004873298491413891,0.043037657,0.06511367112398148,0.16405249,0.07700372,0.9204987,0.843495,0.08695652173913043,0.9204987,0.8632282,0.75644624,0.8409727,-0.0033136855354422346,0.039228894,0.067019105,0.044863462,0.9695976,0.9247341,0.08695652173913043,0.9695976,0.93907505,0.9025785,0.9250786,-0.00171360821120824,0.016317373,0.16574925,0.11291289,0.99972,0.8868071,0.16666666666666666,0.99972,0.9331948,0.8339707,0.8825331,-0.004228414063868338,0.040777758,0.3941519558429718
20230.mp4,good,0.9586846828460693,0.8446746468544006,0.6538143,0.609937,0.91406834,0.30413133,0.0,0.91406834,0.41358235,0.260254,0.2814551,-0.018518586433216515,0.15801288,0.24207556,0.24207556,0.95096636,0.7088908,0.17391304347826086,0.95096636,0.7910881,0.7088908,0.71906465,-0.00775142449870883,0.055515386,0.09159048646688461,0.23803669,0.20202595,0.922503,0.72047704,0.043478260869565216,0.922503,0.74421453,0.6844663,0.70587647,-0.00358237797328134,0.046837967,0.12877244,0.12877244,0.9677171,0.8389447,0.17391304347826086,0.9677171,0.8826786,0.8389447,0.84335613,-0.00348163958594734,0.027386725,0.22675705,0.21688783,1.0001342,0.7832464,0.16666666666666666,1.0001342,0.8593021,0.7733772,0.79872465,-0.0038758702381797663,0.05226772,0.5124748349189758
6458.mp4,normal,0.960334837436676,0.9032902121543884,0.70667845,0.67302376,0.91427237,0.24124861,0.0,0.91427237,0.3173341,0.20759393,0.22496599,-0.0100900601050835,0.14357157,0.38992083,0.31903988,0.9596735,0.64063364,0.17391304347826086,0.9596735,0.67254496,0.5697527,0.5734456,-0.003226739792484545,0.0909214,0.19934877753257751,0.19914913,0.1940614,0.91427255,0.72021115,0.043478260869565216,0.91427255,0.7626919,0.7151234,0.7252961,-0.004541222874826114,0.043428905,0.12562478,0.10957682,0.9705,0.8609232,0.043478260869565216,0.9705,0.8718938,0.8448752,0.8492755,-0.0019750613940092117,0.026945166,0.1877569,0.16480386,0.9995831,0.83477926,0.041666666666666664,0.9995831,0.86780626,0.8118262,0.8349264,-0.005337442652038928,0.04391129,0.4129149317741394
16522.mp4,good,0.9837871193885803,0.918949544429779,0.3446528,0.33194932,0.6689903,0.337041,0.0,0.6689903,0.3540352,0.3243375,0.32506838,-0.00572438461507262,0.071471855,0.2178238,0.20961177,0.8642835,0.6546717,0.0,0.8642835,0.6654423,0.6464597,0.64778364,-0.003492580807727324,0.046264123,0.207171231508255,0.061436832,0.050253868,0.8184414,0.7681875,0.043478260869565216,0.8184414,0.76985896,0.75700456,0.759223,-0.0005458631652146084,0.012705633,0.03792876,0.034966588,0.9047223,0.8697557,0.0,0.9047223,0.87261355,0.8667935,0.86765075,-0.0006286145552345105,0.00901527,0.119609654,0.10717088,0.9999555,0.8927846,0.0,0.9999555,0.89698404,0.8803458,0.8833187,-0.0017797187877738136,0.024479773,0.32987841963768005
16937.mp4,normal,0.9791820645332336,0.9480832815170288,0.6003965,0.6003965,0.90697736,0.30658084,0.0,0.90697736,0.46409163,0.30658084,0.3200484,-0.021853827823527728,0.1592293,0.2597106,0.2597106,0.9419586,0.682248,0.13043478260869565,0.9419586,0.7711514,0.682248,0.69836044,-0.009694807496466682,0.066891246,0.09298928081989288,0.27108395,0.27108395,0.9267572,0.65567327,0.08695652173913043,0.9267572,0.73590696,0.65567327,0.6602512,-0.01067086671416469,0.0765519,0.14673609,0.14673609,0.96592325,0.81918716,0.043478260869565216,0.96592325,0.8641408,0.81918716,0.8296188,-0.0053374392124033,0.038913935,0.14125425,0.14125425,0.99963254,0.8583783,0.125,0.99963254,0.90233296,0.8583783,0.86594635,-0.0045656688317008715,0.03468463,0.4063069522380829
16677.mp4,bad,0.9408014416694641,0.8587181568145752,0.52491355,-0.0119018555,0.9640552,0.97595704,0.2608695652173913,0.98370594,0.7336813,0.43914166,0.47260925,0.007960004385987764,0.20176722,0.16312313,-0.0045695305,0.9826509,0.9872204,0.2608695652173913,0.9872204,0.9087249,0.81952775,0.8306393,0.0024336710159957586,0.061138686,0.03303608298301697,0.23901206,-0.011987209,0.96524,0.9772272,0.2608695652173913,0.9842703,0.8561916,0.72622794,0.7352754,0.004818228216981702,0.09247903,0.09119564,-0.0039337277,0.98513514,0.98906887,0.2608695652173913,0.99116284,0.9417611,0.8939395,0.900533,0.0016538326448131534,0.035494853,0.31222683,0.005815983,0.9993216,0.9935056,0.20833333333333334,0.9993216,0.8445235,0.68709475,0.73089975,0.002908864772838074,0.11215659,0.3739160895347595
15134.mp4,bad,0.9956766366958618,0.9752658605575562,0.43093675,0.19044483,0.9377006,0.7472558,0.21739130434782608,0.9377006,0.73228514,0.5067639,0.5494809,0.004773046305999447,0.11535693,0.1240648,0.066143215,0.96190923,0.895766,0.21739130434782608,0.96190923,0.8938796,0.83784443,0.8404874,0.00011666236894404113,0.033385064,0.05057995393872261,0.07757497,0.059045017,0.9414017,0.8823567,0.08695652173913043,0.9414017,0.88263136,0.86382675,0.8662127,-0.0009599338053714491,0.017619386,0.057282686,0.03603512,0.98203754,0.9460024,0.17391304347826086,0.98203754,0.94445974,0.92475486,0.9272288,-0.0005346576097925679,0.014066434,0.067661285,0.04531783,0.9995518,0.95423394,0.08333333333333333,0.9995518,0.9574685,0.9318905,0.94223124,-0.001855520917021733,0.019114172,0.5224281549453735
