rel,label,c_multi_frac,c_multi_run,c_vanish_frac,g_ratio_med,g_asp_med,g_drift,g_asp_drift,r_so_p75,r_so_mean,r_so_max,r_ds_p75,r_ds_mean,r_ds_max
d65146967bd5d8b3d6a20372a090f892.mp4,good,0.0,0.0,0.125,1.1851285189718483,1.1595268272074355,0.035934701954775834,0.028078973869716688,0.1454157680273056,0.13741347193717957,0.16642725467681885,0.3402934670448303,0.32627853751182556,0.35942649841308594
623283031144918701ff00756bbff9e5.mp4,good,0.0,0.0,0.0,1.2920666290231506,1.2767766864076266,0.09886991459931808,0.11560171990494937,0.12679828703403473,0.1197236031293869,0.13632607460021973,0.22059732675552368,0.2071181684732437,0.2556138038635254
4f95a8bc31851629a3a3d20087ed3083.mp4,bad,0.0,0.0,0.0,1.094871794871795,1.0723496835443038,0.04969302175391901,0.05820229001875583,0.11763152480125427,0.11007902026176453,0.12057185173034668,0.22510436177253723,0.21802352368831635,0.280106782913208
1dde93293abd56023af8238960979b3b.mp4,good,0.0,0.0,0.0,1.2530762657551806,1.2094418982997044,0.16922078813942162,0.03267027528623589,0.12496796250343323,0.12175512313842773,0.15143835544586182,0.19179309904575348,0.19311198592185974,0.31939196586608887
f9a84abe86a77763fb64a7407043d881.mp4,good,0.0,0.0,0.1875,1.2044198895027625,1.1939393939393939,0.02579969010295312,0.08942069335501382,0.14547765254974365,0.14101499319076538,0.1631525754928589,0.2804858088493347,0.26273033022880554,0.2955999970436096
a400e3f6d8a03acf45c1ebe779aaa5f6.mp4,bad,0.0,0.0,0.0,1.1527196652719665,1.1149130936702274,0.05960399189770634,0.033229547164598625,0.13498778641223907,0.1315397173166275,0.14135819673538208,0.21230348944664001,0.20564061403274536,0.26526939868927
dcc37d479ecbd69ee0dcfd7e6c993c43.mp4,good,0.0,0.0,0.0,1.1698944302875864,1.15848028366769,0.14615327239465034,0.1371822748765962,0.10549046099185944,0.10290072858333588,0.14357894659042358,0.14204752445220947,0.13562005758285522,0.18487900495529175
34f61dc6f45300466b2c4b9161f7bfde.mp4,good,0.0,0.0,0.0,1.272615864527629,1.2313829787234043,0.07924826304547303,0.08165531412237384,0.11802740395069122,0.10788987576961517,0.1391095519065857,0.19831031560897827,0.18789754807949066,0.21938109397888184
8fa1bc8fc96667f6bb7fe02c24bc229e.mp4,good,0.0,0.0,0.0,1.120968286099865,1.1182744214032085,0.19221362621748833,0.0823055232718563,0.1320478916168213,0.12551040947437286,0.1382947564125061,0.18175993859767914,0.17753289639949799,0.2311040163040161
4b2a46fa5e2cbcd9030620ae6b6d7ca8.mp4,good,0.0,0.0,0.0,1.1786962683042042,1.1403998685877879,0.0035057494810519507,0.010576914132577574,0.15908941626548767,0.15395891666412354,0.16688942909240723,0.3086828589439392,0.29721346497535706,0.32638251781463623
